My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@JohannaJoso,34.,3,@JohannaJoso,@ShazeeraZawawi,16.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@minttea102,17.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@VizFSG,18.,2,no,no
@JohannaJoso,34.,3,@JohannaJoso,@maf2k,19.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@consult_ant,20.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@Saveriorocc,21.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@pradeep_zen,22.,2,no,no
@JohannaJoso,34.,3,@JohannaJoso,@ItsElisaDavis,23.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@Lodhaviz,24.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@WJSutton12,25.,3,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@vinzonervin,26.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@SParsonsDataViz,27.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@dbfmurray,28.,3,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@VizWithIrene,29.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@ArshiyaShaheen,30.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@ishiaki_tab,31.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@thefringefest,32.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@jaxx084,33.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@DocKevinElder,34.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@brrosenau,35.,3,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@GhafarShah9,36.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@zizzy_data,37.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@O_Syringa_Z,38.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@menscuriosa,39.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@WindsCogley,40.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@KimTricker,41.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@datadzif,42.,3,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@womenindataviz,43.,3,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@priya_yogendra,44.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@DataLabs89,45.,3,no,no
@satya_majhi,35.,3,@satya_majhi,@lokipalauri,1.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@csharpian,2.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@manas_muduli,3.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@aujwalya_,4.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@TheAnonymoz,5.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@SKDAgriMan,6.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@anupam_patnaik9,7.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@devasissarangi,8.,1,no,no
@satya_majhi,35.,3,@satya_majhi,@AskLipun,9.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@fitindiandad,10.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@Drakshays,11.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@VinodhDataArt,12.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@boomshankar_,13.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@prem_prasann,14.,2,no,yes
@satya_majhi,35.,3,@satya_majhi,@_AnsumanRath,15.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@sambitnk,16.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@agrawalakhil,17.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@88biswa,18.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@NiharikaDash14,19.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@tapasr10,20.,2,no,no
@satya_majhi,35.,3,@satya_majhi,@suritalreja,21.,2,no,no
